c_pc	County Name	Precinct Name	Precinct Code	Region Name	Media Market	Registered Voters	Total Voters	Turnout Percentage
ADAMS_AAA	Adams	BRATTON TOWNSHIP	AAA	Southwest	Cincinnati	923	661	0.716143012
ADAMS_AAB	Adams	BRUSH CREEK TOWNSHIP	AAB	Southwest	Cincinnati	768	514	0.669270833
ADAMS_AAD	Adams	LOCUST GROVE	AAD	Southwest	Cincinnati	684	522	0.763157895
ADAMS_AAE	Adams	GREEN TOWNSHIP	AAE	Southwest	Cincinnati	409	259	0.633251834
ADAMS_AAG	Adams	JEFFERSON TOWNSHIP	AAG	Southwest	Cincinnati	537	351	0.653631285
ADAMS_AAI	Adams	LIBERTY SOUTH	AAI	Southwest	Cincinnati	729	511	0.700960219
ADAMS_AAK	Adams	MANCHESTER UNITED TOWNSHIP	AAK	Southwest	Cincinnati	1163	643	0.552880482
ADAMS_AAN	Adams	MEIGS TOWNSHIP	AAN	Southwest	Cincinnati	1209	821	0.679073615
ADAMS_AAP	Adams	PEEBLES EAST	AAP	Southwest	Cincinnati	550	337	0.612727273
ADAMS_AAQ	Adams	PEEBLES WEST	AAQ	Southwest	Cincinnati	554	354	0.63898917
ADAMS_AAR	Adams	MONROE TOWNSHIP	AAR	Southwest	Cincinnati	432	291	0.673611111
ADAMS_AAS	Adams	OLIVER TOWNSHIP	AAS	Southwest	Cincinnati	643	445	0.692068429
ADAMS_AAT	Adams	SCOTT TOWNSHIP	AAT	Southwest	Cincinnati	701	555	0.791726106
ADAMS_AAU	Adams	SEAMAN VILLAGE	AAU	Southwest	Cincinnati	607	371	0.611202636
ADAMS_AAW	Adams	SPRIGG TOWNSHIP	AAW	Southwest	Cincinnati	1111	789	0.710171017
ADAMS_AAY	Adams	TIFFIN EAST	AAY	Southwest	Cincinnati	725	545	0.751724138
ADAMS_AAZ	Adams	TIFFIN WEST	AAZ	Southwest	Cincinnati	720	515	0.715277778
ADAMS_ABA	Adams	WEST UNION A	ABA	Southwest	Cincinnati	879	567	0.645051195
ADAMS_ABC	Adams	WEST UNION B	ABC	Southwest	Cincinnati	873	528	0.604810997
ADAMS_ABE	Adams	WAYNE TOWNSHIP	ABE	Southwest	Cincinnati	830	591	0.712048193
ADAMS_ABG	Adams	WINCHESTER TOWNSHIP	ABG	Southwest	Cincinnati	758	591	0.779683377
ADAMS_ABH	Adams	WINCHESTER VILLAGE	ABH	Southwest	Cincinnati	635	434	0.683464567
ADAMS_ABI	Adams	LIBERTY NORTH	ABI	Southwest	Cincinnati	505	388	0.768316832
ALLEN_AAA	Allen	DELPHOS 1A	AAA	West	Lima	757	540	0.71334214
ALLEN_AAC	Allen	DELPHOS 1B	AAC	West	Lima	593	478	0.806070826
ALLEN_AAE	Allen	DELPHOS 2A	AAE	West	Lima	803	512	0.637608966
ALLEN_AAG	Allen	DELPHOS 2B	AAG	West	Lima	415	226	0.544578313
ALLEN_AAH	Allen	LIMA 1A	AAH	West	Lima	990	601	0.607070707
ALLEN_AAJ	Allen	LIMA 1B	AAJ	West	Lima	965	568	0.588601036
ALLEN_AAK	Allen	LIMA 1C	AAK	West	Lima	927	447	0.482200647
ALLEN_AAO	Allen	LIMA 2A	AAO	West	Lima	1103	649	0.588395286
ALLEN_AAP	Allen	LIMA 2B	AAP	West	Lima	1051	704	0.669838249
ALLEN_AAQ	Allen	LIMA 2C	AAQ	West	Lima	1048	672	0.641221374
ALLEN_AAW	Allen	LIMA 3A	AAW	West	Lima	1006	469	0.466202783
ALLEN_AAX	Allen	LIMA 3B	AAX	West	Lima	1002	332	0.331337325
ALLEN_AAY	Allen	LIMA 3C	AAY	West	Lima	956	468	0.489539749
ALLEN_ABE	Allen	LIMA 4A	ABE	West	Lima	900	705	0.783333333
ALLEN_ABF	Allen	LIMA 4B	ABF	West	Lima	888	466	0.524774775
ALLEN_ABH	Allen	LIMA 4C	ABH	West	Lima	755	480	0.635761589
ALLEN_ABI	Allen	LIMA 4D	ABI	West	Lima	946	697	0.736786469
ALLEN_ABP	Allen	LIMA 5A	ABP	West	Lima	701	281	0.40085592
ALLEN_ABQ	Allen	LIMA 5B	ABQ	West	Lima	776	291	0.375
ALLEN_ABR	Allen	LIMA 5C	ABR	West	Lima	787	389	0.494282084
ALLEN_ABT	Allen	LIMA 5D	ABT	West	Lima	800	421	0.52625
ALLEN_ABW	Allen	LIMA 6A	ABW	West	Lima	1033	533	0.515972894
ALLEN_ABX	Allen	LIMA 6B	ABX	West	Lima	1030	490	0.475728155
ALLEN_ABZ	Allen	LIMA 6C	ABZ	West	Lima	1093	486	0.444647758
ALLEN_ACD	Allen	LIMA 7A	ACD	West	Lima	1114	717	0.643626571
ALLEN_ACE	Allen	LIMA 7B	ACE	West	Lima	997	619	0.620862588
ALLEN_ACG	Allen	LIMA 7C	ACG	West	Lima	1003	703	0.700897308
ALLEN_ACT	Allen	AMANDA E	ACT	West	Lima	962	778	0.808731809
ALLEN_ACU	Allen	AMANDA N	ACU	West	Lima	501	405	0.808383234
ALLEN_ACW	Allen	AMERICAN A	ACW	West	Lima	764	601	0.786649215
ALLEN_ACX	Allen	AMERICAN B	ACX	West	Lima	751	514	0.684420772
ALLEN_ACY	Allen	AMERICAN C	ACY	West	Lima	737	505	0.685210312
ALLEN_ACZ	Allen	AMERICAN D	ACZ	West	Lima	805	474	0.588819876
ALLEN_ADA	Allen	AMERICAN E	ADA	West	Lima	707	440	0.622347949
ALLEN_ADB	Allen	AMERICAN F	ADB	West	Lima	573	462	0.806282723
ALLEN_ADC	Allen	AMERICAN G	ADC	West	Lima	872	648	0.743119266
ALLEN_ADD	Allen	AMERICAN H	ADD	West	Lima	777	629	0.80952381
ALLEN_ADE	Allen	AMERICAN I	ADE	West	Lima	686	553	0.806122449
ALLEN_ADF	Allen	AMERICAN J	ADF	West	Lima	728	573	0.787087912
ALLEN_ADG	Allen	AMERICAN K	ADG	West	Lima	735	500	0.680272109
ALLEN_ADI	Allen	AMERICAN L	ADI	West	Lima	714	515	0.721288515
ALLEN_ADQ	Allen	ELIDA A	ADQ	West	Lima	673	508	0.754829123
ALLEN_ADR	Allen	ELIDA B	ADR	West	Lima	672	563	0.837797619
ALLEN_ADT	Allen	AUGLAIZE A	ADT	West	Lima	689	535	0.776487663
ALLEN_ADU	Allen	HARROD	ADU	West	Lima	268	190	0.708955224
ALLEN_ADW	Allen	AUGLAIZE B	ADW	West	Lima	878	693	0.78929385
ALLEN_ADY	Allen	BATH A	ADY	West	Lima	653	508	0.777947933
ALLEN_ADZ	Allen	BATH B	ADZ	West	Lima	737	594	0.805970149
ALLEN_AEA	Allen	BATH C	AEA	West	Lima	594	467	0.786195286
ALLEN_AEB	Allen	BATH D	AEB	West	Lima	759	507	0.66798419
ALLEN_AEC	Allen	BATH E	AEC	West	Lima	744	360	0.483870968
ALLEN_AED	Allen	BATH F	AED	West	Lima	625	499	0.7984
ALLEN_AEE	Allen	BATH G	AEE	West	Lima	843	649	0.769869514
ALLEN_AEF	Allen	BATH H	AEF	West	Lima	750	609	0.812
ALLEN_AEG	Allen	BATH I	AEG	West	Lima	731	444	0.607387141
ALLEN_AEN	Allen	JACKSON A	AEN	West	Lima	974	826	0.848049281
ALLEN_AEO	Allen	LAFAYETTE	AEO	West	Lima	231	166	0.718614719
ALLEN_AEQ	Allen	JACKSON B	AEQ	West	Lima	967	763	0.789038263
ALLEN_AES	Allen	MARION A	AES	West	Lima	967	757	0.782833506
ALLEN_AET	Allen	MARION B	AET	West	Lima	875	738	0.843428571
ALLEN_AEW	Allen	CAIRO	AEW	West	Lima	344	250	0.726744186
ALLEN_AEX	Allen	MONROE E	AEX	West	Lima	600	479	0.798333333
ALLEN_AEY	Allen	MONROE W	AEY	West	Lima	538	427	0.793680297
ALLEN_AEZ	Allen	PERRY C	AEZ	West	Lima	797	624	0.78293601
ALLEN_AFB	Allen	PERRY A	AFB	West	Lima	769	546	0.710013004
ALLEN_AFC	Allen	PERRY B	AFC	West	Lima	705	407	0.577304965
ALLEN_AFE	Allen	BEAVERDAM	AFE	West	Lima	231	147	0.636363636
ALLEN_AFF	Allen	RICHLAND A	AFF	West	Lima	684	549	0.802631579
ALLEN_AFG	Allen	RICHLAND B	AFG	West	Lima	702	565	0.804843305
ALLEN_AFI	Allen	BLUFFTON A	AFI	West	Lima	849	713	0.839811543
ALLEN_AFJ	Allen	BLUFFTON B	AFJ	West	Lima	825	612	0.741818182
ALLEN_AFK	Allen	BLUFFTON C	AFK	West	Lima	791	608	0.768647282
ALLEN_AFN	Allen	SHAWNEE A	AFN	West	Lima	733	583	0.795361528
ALLEN_AFO	Allen	SHAWNEE B	AFO	West	Lima	700	550	0.785714286
ALLEN_AFP	Allen	SHAWNEE C	AFP	West	Lima	662	449	0.678247734
ALLEN_AFQ	Allen	SHAWNEE D	AFQ	West	Lima	719	548	0.76216968
ALLEN_AFR	Allen	SHAWNEE E	AFR	West	Lima	703	527	0.749644381
ALLEN_AFS	Allen	SHAWNEE F	AFS	West	Lima	805	644	0.8
ALLEN_AFT	Allen	SHAWNEE G	AFT	West	Lima	786	623	0.792620865
ALLEN_AFU	Allen	SHAWNEE H	AFU	West	Lima	746	579	0.77613941
ALLEN_AFV	Allen	SHAWNEE I	AFV	West	Lima	742	596	0.803234501
ALLEN_AGB	Allen	SHAWNEE J	AGB	West	Lima	843	660	0.782918149
ALLEN_AGC	Allen	SHAWNEE K	AGC	West	Lima	840	613	0.729761905
ALLEN_AGD	Allen	SHAWNEE L	AGD	West	Lima	802	545	0.679551122
ALLEN_AGI	Allen	SPENCER A	AGI	West	Lima	563	431	0.765541741
ALLEN_AGK	Allen	SPENCERVILLE A	AGK	West	Lima	691	450	0.651230101
ALLEN_AGL	Allen	SPENCERVILLE B	AGL	West	Lima	636	426	0.669811321
ALLEN_AGN	Allen	SUGAR CREEK	AGN	West	Lima	867	667	0.769319493
ASHLAND_AAA	Ashland	ASHLAND CITY 1-A	AAA	Northeast	Cleveland	900	718	0.797777778
ASHLAND_AAB	Ashland	ASHLAND CITY 1-B	AAB	Northeast	Cleveland	642	394	0.613707165
ASHLAND_AAC	Ashland	ASHLAND CITY 1-C	AAC	Northeast	Cleveland	557	439	0.788150808
ASHLAND_AAD	Ashland	ASHLAND CITY 1-D	AAD	Northeast	Cleveland	1060	784	0.739622642
ASHLAND_AAF	Ashland	ASHLAND CITY 1-E	AAF	Northeast	Cleveland	660	543	0.822727273
ASHLAND_AAG	Ashland	ASHLAND CITY 2-A	AAG	Northeast	Cleveland	1019	696	0.683022571
ASHLAND_AAH	Ashland	ASHLAND CITY 2-B	AAH	Northeast	Cleveland	795	447	0.562264151
ASHLAND_AAI	Ashland	ASHLAND CITY 2-C	AAI	Northeast	Cleveland	488	369	0.756147541
ASHLAND_AAJ	Ashland	ASHLAND CITY 2-D	AAJ	Northeast	Cleveland	987	729	0.738601824
ASHLAND_AAQ	Ashland	ASHLAND CITY 3-A	AAQ	Northeast	Cleveland	780	508	0.651282051
ASHLAND_AAS	Ashland	ASHLAND CITY 3-B	AAS	Northeast	Cleveland	1025	766	0.747317073
